,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
30,[0.869504726623447],[0.9412266287069533],[0.9411764705882353],[0.7085346215780999],0.53570265,[0.8903586125808348],[0.9628188007936163],[0.9534883720930233],[0.7592592592592593],0.38802102
31,[0.8727378538709919],[0.941195409019485],[0.9043408360128617],[0.9057971014492754],0.43184674,[0.876984126984127],[0.9582943803288402],[0.9090909090909091],[0.9259259259259259],0.43518725
32,[0.8709356461665541],[0.9407456171668638],[0.8806083650190114],[0.9323671497584541],0.42378214,[0.8684597295708407],[0.9541596048904329],[0.8914285714285715],[0.9629629629629629],0.48501763
33,[0.8745358897983364],[0.9431885957591876],[0.9229406554472985],[0.8389694041867954],0.45733795,[0.8849206349206349],[0.9618668357306139],[0.9276315789473685],[0.8703703703703703],0.3875917
34,[0.8759814105612709],[0.9419156446704451],[0.928635953026197],[0.8276972624798712],0.45523798,[0.880217519106408],[0.9596949813699186],[0.9210526315789473],[0.8641975308641975],0.40175617
35,[0.8755350304122551],[0.9404779436668302],[0.9360406091370559],[0.7423510466988728],0.50653416,[0.8816872427983539],[0.9607453326917956],[0.9402985074626866],[0.7777777777777778],0.40721878
36,[0.8746673007767849],[0.945248170234297],[0.8807547169811321],[0.9396135265700483],0.42203897,[0.8749265138154028],[0.9574299461021812],[0.8863636363636364],[0.9629629629629629],0.46895885
37,[0.8719994493254236],[0.9431436147639833],[0.8773234200743495],[0.9500805152979066],0.42494392,[0.8646384479717812],[0.9523245422998007],[0.8876404494382022],[0.9753086419753086],0.50405836
38,[0.8783947836099222],[0.9436444849765531],[0.9159034138218152],[0.8856682769726248],0.4306966,[0.8777189888301],[0.9588850120872325],[0.9182389937106918],[0.9012345679012346],0.4276922
39,[0.8783030045138628],[0.9443523451576941],[0.9276257722859664],[0.8462157809983897],0.43982735,[0.8808054085831865],[0.9609046282934326],[0.922077922077922],[0.8765432098765432],0.39377502
40,[0.8805411629245825],[0.9464673806944516],[0.9211438474870017],[0.855877616747182],0.42992616,[0.8809523809523809],[0.9608897097727089],[0.9225806451612903],[0.8827160493827161],0.39841616
41,[0.880801898992933],[0.9460367842506198],[0.9383561643835616],[0.7721417069243156],0.48267454,[0.8900646678424456],[0.9643731718498579],[0.9420289855072463],[0.8024691358024691],0.37606326
42,[0.8823183399664589],[0.9482142920838199],[0.9099025974025974],[0.9025764895330113],0.4113166,[0.8763962375073486],[0.9598094675034207],[0.9135802469135802],[0.9135802469135802],0.42552018
43,[0.8823892601770503],[0.9485452967799489],[0.9453658536585365],[0.7801932367149759],0.47286007,[0.8922692533803644],[0.9651474868173383],[0.9492753623188406],[0.808641975308642],0.3706038
44,[0.8830004255212636],[0.9488149152598544],[0.9188284518828452],[0.8840579710144928],0.42134452,[0.8869782480893592],[0.9636126812861422],[0.9240506329113924],[0.9012345679012346],0.3983591
45,[0.8834259467848115],[0.9483026771770147],[0.9326750448833034],[0.8365539452495975],0.43977806,[0.8871252204585538],[0.9638703513473429],[0.9276315789473685],[0.8703703703703703],0.38871422
46,[0.8848005473371546],[0.9499374585072868],[0.9243986254295533],[0.8663446054750402],0.4177012,[0.880217519106408],[0.9615164861713583],[0.9225806451612903],[0.8827160493827161],0.39046058
47,[0.8852239827121556],[0.9508468881874814],[0.8999205718824463],[0.9122383252818036],0.40168205,[0.8765432098765432],[0.9599857289103131],[0.9101796407185628],[0.9382716049382716],0.43444982
48,[0.8836929405188022],[0.9482622946845659],[0.9525959367945824],[0.679549114331723],0.5305198,[0.8928571428571428],[0.9646624681358207],[0.9583333333333334],[0.7098765432098766],0.3865324
49,[0.8884237357429519],[0.9525047994599334],[0.9191666666666667],[0.8880837359098228],0.4131441,[0.8897707231040565],[0.9643620149922618],[0.9177215189873418],[0.8950617283950617],0.39714727
50,[0.8862669269855572],[0.9496071979778468],[0.9468405215646941],[0.7600644122383253],0.48284602,[0.8909465020576132],[0.9645334031699808],[0.9481481481481482],[0.7901234567901234],0.38050058
51,[0.8893509132020059],[0.9533217209191898],[0.9234650967199327],[0.8840579710144928],0.40480983,[0.8849206349206349],[0.9627675390937205],[0.9177215189873418],[0.8950617283950617],0.395263
52,[0.8891892568396285],[0.9532663307579105],[0.8949416342412452],[0.9259259259259259],0.3950181,[0.8771310993533217],[0.9603372506172725],[0.8941176470588236],[0.9382716049382716],0.46698567
53,[0.8901028760231284],[0.9527919768587414],[0.93646408839779],[0.8188405797101449],0.43553668,[0.8894767783656673],[0.9644208634074458],[0.9319727891156463],[0.845679012345679],0.3799245
54,[0.8918779671764578],[0.9546421275468088],[0.9497098646034816],[0.7906602254428341],0.45355678,[0.89212228101117],[0.9644339123461496],[0.9432624113475178],[0.8209876543209876],0.36802706
55,[0.8921470467989955],[0.955897276450286],[0.8988235294117647],[0.9227053140096618],0.3901841,[0.8777189888300999],[0.9603853898265637],[0.8994082840236687],[0.9382716049382716],0.4523041
56,[0.8925663103969029],[0.9548259229784088],[0.9392824287028518],[0.822061191626409],0.4304232,[0.8928571428571428],[0.9652984774968065],[0.9513888888888888],[0.845679012345679],0.3683686
57,[0.8934152670354518],[0.9550980657073384],[0.9449715370018975],[0.8019323671497585],0.44630522,[0.8932980599647267],[0.9655180719219475],[0.9507042253521126],[0.8333333333333334],0.3656393
58,[0.8945958799529425],[0.9563462288825779],[0.9232053422370617],[0.8904991948470209],0.39843202,[0.884185773074662],[0.9627534246577938],[0.9119496855345912],[0.8950617283950617],0.40459767
59,[0.8939847146087291],[0.955608696128081],[0.9262363788767812],[0.8896940418679549],0.39450946,[0.880217519106408],[0.9615298548493504],[0.9177215189873418],[0.8950617283950617],0.4216981
60,[0.8966775967226519],[0.9578258094268689],[0.926458157227388],[0.8824476650563607],0.39897376,[0.8863903586125809],[0.9631805186700336],[0.9182389937106918],[0.9012345679012346],0.38885483
61,[0.8972240995219144],[0.9577476654342921],[0.9339130434782609],[0.8647342995169082],0.4028304,[0.88668430335097],[0.9638740595258616],[0.9225806451612903],[0.8827160493827161],0.39002752
62,[0.8989449575730268],[0.9590095009880883],[0.9452181987000928],[0.8196457326892109],0.425895,[0.8915343915343915],[0.964496827908464],[0.9455782312925171],[0.8580246913580247],0.36290827
63,[0.8994831168181021],[0.95964787654204],[0.9315068493150684],[0.8760064412238325],0.38789588,[0.8828630217519107],[0.9628387613177872],[0.9225806451612903],[0.8827160493827161],0.40895215
64,[0.9017609071112113],[0.9606319887080226],[0.9384885764499121],[0.8599033816425121],0.39275387,[0.8887419165196944],[0.9639711677444553],[0.934640522875817],[0.8827160493827161],0.37594286
65,[0.9001359999332514],[0.960684459169675],[0.9020537124802528],[0.9194847020933977],0.37924138,[0.8725749559082893],[0.9583205120436229],[0.8994082840236687],[0.9382716049382716],0.4712453
66,[0.90250556932242],[0.9610000263503439],[0.9361888111888111],[0.8623188405797102],0.3960085,[0.8860964138741917],[0.9634555356884719],[0.934640522875817],[0.8827160493827161],0.39107218
67,[0.9020967351672465],[0.9612090269018332],[0.9195402298850575],[0.9017713365539453],0.37729642,[0.8778659611992945],[0.9604845489780256],[0.9135802469135802],[0.9135802469135802],0.42348278
68,[0.9036110902522256],[0.9618717218081241],[0.9238410596026491],[0.8985507246376812],0.38357016,[0.8849206349206349],[0.9626318934946306],[0.9012345679012346],[0.9012345679012346],0.40960598
69,[0.9033670412922498],[0.9618137891921585],[0.9389380530973451],[0.8542673107890499],0.3908186,[0.8803644914756027],[0.9615002105531065],[0.934640522875817],[0.8827160493827161],0.41234064
70,[0.9059785737528472],[0.9632885909745214],[0.9274395329441201],[0.895330112721417],0.37294182,[0.8813932980599648],[0.961771594123773],[0.9119496855345912],[0.8950617283950617],0.4302506
71,[0.9062726840379465],[0.9625036442570329],[0.946046511627907],[0.8188405797101449],0.41222635,[0.89212228101117],[0.9651371407160753],[0.9452054794520548],[0.8518518518518519],0.37295452
72,[0.9062497392639315],[0.9637233447267275],[0.9178193653376729],[0.9082125603864735],0.36759624,[0.8706643151087595],[0.9581084918929632],[0.9030303030303031],[0.9197530864197531],0.47512534
73,[0.9088925600527313],[0.9640452064148346],[0.9459211732355637],[0.8309178743961353],0.40197307,[0.8885949441504997],[0.9637987219728055],[0.9391891891891891],[0.8580246913580247],0.391288
74,[0.9104820071253953],[0.9649626122892959],[0.9431407942238267],[0.8413848631239935],0.39249507,[0.884185773074662],[0.9621409775496634],[0.94],[0.8703703703703703],0.41799423
75,[0.9103318231500254],[0.9656825836530779],[0.9270315091210614],[0.9001610305958132],0.36286032,[0.8708112874779541],[0.9578658474809776],[0.906832298136646],[0.9012345679012346],0.49781498
76,[0.9115499820613586],[0.9653375241336586],[0.9505597014925373],[0.820450885668277],0.40808,[0.8890358612580835],[0.9642542203392626],[0.9391891891891891],[0.8580246913580247],0.405658
77,[0.9096831118119697],[0.9656585842624513],[0.9152542372881356],[0.9130434782608695],0.36045575,[0.8622868900646679],[0.9535950657171157],[0.9030303030303031],[0.9197530864197531],0.56084305
78,[0.9127034784277406],[0.9659901363004827],[0.9597249508840865],[0.7866344605475041],0.42547536,[0.8918283362727807],[0.9643210596884237],[0.9428571428571428],[0.8148148148148148],0.38654998
79,[0.9151210232534857],[0.9676894244010033],[0.9350210970464135],[0.8921095008051529],0.35796198,[0.8768371546149324],[0.9591326431646214],[0.9182389937106918],[0.9012345679012346],0.4819344
80,[0.9133772204283581],[0.9661438543989782],[0.9658738366080661],[0.7520128824476651],0.44482797,[0.8905055849500294],[0.9642931139810355],[0.9548872180451128],[0.7839506172839507],0.3848623
81,[0.9183228621728283],[0.9689506811669284],[0.9453262786596119],[0.8631239935587761],0.3626337,[0.8819811875367431],[0.9613891728727291],[0.9333333333333333],[0.8641975308641975],0.45617047
82,[0.9205130451469717],[0.9701151449384784],[0.9400171379605827],[0.8832528180354268],0.34856334,[0.8796296296296297],[0.9606274435617748],[0.9171974522292994],[0.8888888888888888],0.48393527
83,[0.9170087523883422],[0.9693772476120592],[0.9059288537549407],[0.9227053140096618],0.3483836,[0.853615520282187],[0.9484033229063635],[0.9036144578313253],[0.9259259259259259],0.6815266
84,[0.9188589355293569],[0.9689099527824431],[0.9573863636363636],[0.8140096618357487],0.38554886,[0.8816872427983539],[0.9606167942793569],[0.9448275862068966],[0.845679012345679],0.45865095
85,[0.9217228605041176],[0.9706319277811106],[0.9641076769690927],[0.7785829307568438],0.41004375,[0.8918283362727807],[0.96422889944239],[0.9507042253521126],[0.8333333333333334],0.41123864
86,[0.9215789341943881],[0.9711625819562459],[0.9346904156064462],[0.8872785829307569],0.33988842,[0.8605232216343328],[0.9486336713371074],[0.9225806451612903],[0.8827160493827161],0.6357052
87,[0.9210762350546086],[0.9713134572818506],[0.9003115264797508],[0.9307568438003221],0.34408665,[0.8536155202821869],[0.9477848967660505],[0.8982035928143712],[0.9259259259259259],0.7129409
88,[0.9230786880595394],[0.9714743571742153],[0.9394987035436474],[0.8752012882447665],0.34172562,[0.8683127572016461],[0.9520020938117454],[0.9271523178807947],[0.8641975308641975],0.60705
89,[0.9242822457510449],[0.9719817795400447],[0.9608030592734226],[0.8091787439613527],0.381452,[0.8925631981187536],[0.9649652901258909],[0.9459459459459459],[0.8641975308641975],0.41439858
90,[0.9257423677338074],[0.9723638211167303],[0.9664429530201343],[0.8115942028985508],0.38103002,[0.8806584362139918],[0.9585722463184114],[0.9444444444444444],[0.8395061728395061],0.51529795
91,[0.9288127956747015],[0.9738209809124825],[0.9631728045325779],[0.821256038647343],0.36152774,[0.8830099941211053],[0.9604879337410207],[0.9391891891891891],[0.8580246913580247],0.4938644
