,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
18,[0.9071486272111813],[0.9366278288930259],[0.8837701879798782],[0.8427164857359253],0.39550224,[0.9068419240041328],[0.9343880011578409],[0.8757637474541752],[0.8669354838709677],0.38478243
19,[0.9035761793330512],[0.9336775383131339],[0.9055870929190319],[0.7652108053521838],0.42522758,[0.9070284697508897],[0.9336128759248098],[0.9048780487804878],[0.7479838709677419],0.40200794
20,[0.9024872220080091],[0.9325954691518465],[0.8905375139977604],[0.80308003029538],0.40811896,[0.9083127654689473],[0.9352274373777932],[0.8854625550660793],[0.8104838709677419],0.38461685
21,[0.9067399600611061],[0.9366154498478759],[0.859614915915184],[0.8904317091643524],0.38261688,[0.9110033291240959],[0.9381619362656131],[0.870722433460076],[0.9233870967741935],0.3723765
22,[0.9073812548513116],[0.9371910766397396],[0.8515273502249585],[0.9078515526382227],0.3843097,[0.9117136379290552],[0.9379447688114018],[0.862453531598513],[0.9354838709677419],0.37595546
23,[0.9059811748659505],[0.9366831526560783],[0.8267786124613345],[0.9447109315829336],0.40716365,[0.9084921363792906],[0.935952042310831],[0.8392226148409894],[0.9576612903225806],0.41002816
24,[0.9101934608101425],[0.9398244453909378],[0.8479273404750816],[0.9192123201211815],0.3837812,[0.9097190334060384],[0.9373702628555121],[0.8605504587155963],[0.9455645161290323],0.38383222
25,[0.9117928878917425],[0.940982851818612],[0.8821391484942886],[0.8578641757132037],0.37843394,[0.9135145218689014],[0.9400797007660634],[0.8744939271255061],[0.8709677419354839],0.36356634
26,[0.9116036258088042],[0.941309623574215],[0.844696094291657],[0.9227467811158798],0.3882111,[0.909223969693491],[0.9378029370249408],[0.8553345388788427],[0.9536290322580645],0.39422122
27,[0.9113647230492868],[0.9405961866554076],[0.867206676485027],[0.8919464781620803],0.37523508,[0.9132992767764894],[0.9398052963870551],[0.8709055876685935],[0.9112903225806451],0.36714157
28,[0.9127766249113499],[0.9418584362316941],[0.8779187817258883],[0.8732643271901035],0.37431386,[0.9156741476294341],[0.9418636719457734],[0.8757396449704142],[0.8951612903225806],0.3618095
29,[0.9116017208618472],[0.941155181650809],[0.8920470073790653],[0.8240343347639485],0.38568887,[0.9138804385260015],[0.9412817147777283],[0.8908296943231441],[0.8225806451612904],0.368874
30,[0.9130221389573643],[0.9424000616322783],[0.8794344473007712],[0.8636707902044938],0.37411553,[0.9159898404316381],[0.943152029023889],[0.8775100401606426],[0.8810483870967742],0.362365
31,[0.913604268336207],[0.9428795638475327],[0.8872977989923098],[0.8447361777328958],0.3777673,[0.917295660658937],[0.9437905551001349],[0.8851774530271399],[0.8548387096774194],0.36191073
32,[0.9113316105889503],[0.9411084438480153],[0.8792443196323717],[0.8694774046957839],0.37649924,[0.9165064286534267],[0.942181228329385],[0.8822355289421158],[0.8911290322580645],0.35721153
33,[0.9126585182000314],[0.9420735629860622],[0.9043007690116776],[0.8015652612976522],0.39260218,[0.9170158420388014],[0.9436366071029225],[0.9002267573696145],[0.8004032258064516],0.3700722
34,[0.9094239182674666],[0.9391948050477684],[0.9404805914972274],[0.6422620550366069],0.47721246,[0.9130553323384226],[0.9402037485098073],[0.9437869822485208],[0.6431451612903226],0.4448387
35,[0.9163981531875421],[0.9451702032526244],[0.8980542614414908],[0.8273163342590255],0.3782498,[0.9174893812421077],[0.9442720370892287],[0.8995633187772926],[0.8306451612903226],0.36794046
36,[0.9161296677223435],[0.945209127348444],[0.8856031128404669],[0.8619035597071446],0.371316,[0.918673229250373],[0.9444983648989373],[0.8870636550308009],[0.8709677419354839],0.35820895
37,[0.916988574688432],[0.9457294572219509],[0.8528097813308253],[0.9156778591264833],0.37069204,[0.9150212375157846],[0.9431675602260147],[0.8613678373382625],[0.9395161290322581],0.37471563
38,[0.9136892625871891],[0.9431659293561377],[0.8421774931381518],[0.9295632416056552],0.3856926,[0.9135145218689014],[0.9415854107207514],[0.8507194244604317],[0.9536290322580645],0.39241004
39,[0.9176488068925017],[0.9462133798085167],[0.9098712446351931],[0.8028275687957587],0.382224,[0.9185082080128573],[0.9450895149343577],[0.9043280182232346],[0.8004032258064516],0.36795342
40,[0.9168919826721543],[0.9458275128787752],[0.8549798911757748],[0.9123958596314062],0.3683831,[0.9155019515555045],[0.9432118947064795],[0.8629629629629629],[0.9395161290322581],0.3676018
41,[0.9180319253422153],[0.9467967781768085],[0.898068669527897],[0.8452411007321383],0.36833677,[0.920696533119045],[0.9466584269668353],[0.8969957081545065],[0.842741935483871],0.35359153
42,[0.9195864741146285],[0.9477577251903597],[0.8723561239547467],[0.8954809391567786],0.35926646,[0.9208543795201468],[0.9475014839722331],[0.8715953307392996],[0.9032258064516129],0.35473603
43,[0.9189205270696884],[0.9475267569637643],[0.8924334300026364],[0.8545821762181267],0.36719185,[0.9213924922511766],[0.9473693203446513],[0.8921161825726142],[0.8669354838709677],0.3550919
44,[0.9206928000736878],[0.9488009239219473],[0.8976818545163869],[0.8505427922241858],0.36176166,[0.919390712891746],[0.9467145117920537],[0.8907563025210085],[0.8548387096774194],0.35619384
45,[0.9190749958567405],[0.9478275661619067],[0.9145249783424776],[0.7995455693006817],0.38470137,[0.9197996785673287],[0.9463722879334884],[0.9055299539170507],[0.7923387096774194],0.36504513
46,[0.919322470877563],[0.9478436408336899],[0.8604873387482083],[0.9093663216359505],0.36330703,[0.9176974514981059],[0.9458013801121777],[0.8592592592592593],[0.9354838709677419],0.3669904
47,[0.9213752193070184],[0.9495651093950487],[0.8660194174757282],[0.900782630648826],0.35684213,[0.9200149236597405],[0.9473468977274959],[0.865530303030303],[0.9213709677419355],0.35430956
48,[0.9217462357407717],[0.9497865738258735],[0.8685491723466408],[0.900782630648826],0.35891545,[0.9210265755940765],[0.9482412440687529],[0.8661567877629063],[0.9133064516129032],0.36046106
49,[0.9229820980928903],[0.9505600394006921],[0.8952230139878596],[0.8563494067154759],0.3562573,[0.9220095281827574],[0.9486475809892593],[0.8881987577639752],[0.8649193548387096],0.35006648
50,[0.9218668076775638],[0.9501167563762414],[0.8794878232488075],[0.8843726331734411],0.35485417,[0.9243413500172196],[0.9507611884538886],[0.8816568047337278],[0.9012096774193549],0.3439379
51,[0.9222409616710104],[0.9499464473717109],[0.9012312633832976],[0.8500378692249432],0.35959408,[0.9220167030191712],[0.9486139872641463],[0.8966244725738397],[0.8568548387096774],0.354352
52,[0.9225251349346766],[0.949988945097212],[0.8603497164461248],[0.9192123201211815],0.3592544,[0.9198283779129836],[0.9468339756913798],[0.8608058608058609],[0.9475806451612904],0.36605275
53,[0.9170479081833496],[0.9466537142361962],[0.8412770809578107],[0.9313304721030042],0.3861105,[0.9156526231201928],[0.9445418674430766],[0.8491921005385996],[0.9536290322580645],0.39649132
54,[0.9241120117775027],[0.9516199903531537],[0.9064311344189898],[0.8290835647563747],0.36123428,[0.9233153484100562],[0.9504486047586195],[0.9030837004405287],[0.8266129032258065],0.35092866
55,[0.9213468692140738],[0.9496267894864601],[0.9125431530494822],[0.8008078767987882],0.37838972,[0.9203664906440132],[0.9481820807315249],[0.9050925925925926],[0.7883064516129032],0.3641804
56,[0.9220690682220896],[0.9501190593023363],[0.9028230184581976],[0.8396869477404696],0.3634474,[0.9227054873148892],[0.9497175531974289],[0.8961038961038961],[0.8346774193548387],0.34946668
57,[0.9266817291943095],[0.9533489102948575],[0.8871625063678044],[0.8793234031810149],0.3461545,[0.9241763287797038],[0.950909460625961],[0.8811881188118812],[0.8971774193548387],0.3461817
58,[0.9208116911749298],[0.9488781146244648],[0.837141577060932],[0.9434486240848271],0.38129872,[0.9175180805877626],[0.9458263861247566],[0.8469750889679716],[0.9596774193548387],0.39744288
59,[0.9269995191689768],[0.9537888199929698],[0.8930785123966942],[0.8730118656904822],0.3479944,[0.9245135460911491],[0.9517274440215564],[0.8861788617886179],[0.8790322580645161],0.34688735
60,[0.9254070955688356],[0.9525934436481933],[0.9004536962903656],[0.8518050997222923],0.35176697,[0.9252597290781769],[0.9516197746034701],[0.895397489539749],[0.8629032258064516],0.34257984
61,[0.9264446193260455],[0.9534962359326913],[0.9255568581477139],[0.7972734158040898],0.3682322,[0.9249727356216277],[0.9514403386109447],[0.9144893111638955],[0.7762096774193549],0.35593438
62,[0.9248964577287226],[0.9523876316894848],[0.9275274056029232],[0.7689977278465034],0.38685915,[0.9220382275284124],[0.9491592792084691],[0.9152542372881356],[0.7620967741935484],0.36956233
63,[0.9275696585875625],[0.9542493810198316],[0.874267578125],[0.904064630143903],0.34589046,[0.9253314774423143],[0.9517831876687082],[0.8683206106870229],[0.9173387096774194],0.3500613
64,[0.9272531012256316],[0.9539060420246893],[0.8911042944785276],[0.8800807876798789],0.34324315,[0.9273834806566409],[0.9531179268288622],[0.8884462151394422],[0.8991935483870968],0.33975074
65,[0.9271316888710646],[0.9539975533894082],[0.8945180566380878],[0.8692249431961626],0.34554103,[0.9254247503156928],[0.9528094404324583],[0.8875502008032129],[0.8911290322580645],0.34316233
66,[0.9290111991831587],[0.9553964854259839],[0.8963001563314226],[0.8684675586972986],0.3429792,[0.9278283205142923],[0.9532186595796379],[0.8929292929292929],[0.8911290322580645],0.33707005
67,[0.9287891608069938],[0.9552163746017196],[0.9029435163086714],[0.8596314062105529],0.34527615,[0.9285601538284927],[0.9545818308088128],[0.8968421052631579],[0.8588709677419355],0.33849308
68,[0.9252239965495809],[0.9526382570049673],[0.9475997295469912],[0.7076495834385256],0.41793743,[0.9238749856503271],[0.9502617547498118],[0.9433962264150944],[0.7056451612903226],0.39399284
69,[0.9292195667635164],[0.9554878774835952],[0.855755894590846],[0.9346124715980813],0.34969088,[0.92730455745609],[0.9535120579373314],[0.8602941176470589],[0.9435483870967742],0.3555195
70,[0.9286648910319916],[0.9549597823590665],[0.8844810379241517],[0.894976016157536],0.34015006,[0.9269601653082309],[0.9523869907018829],[0.877906976744186],[0.9133064516129032],0.3389171
71,[0.9299682109175198],[0.9559595869863086],[0.8877396569122099],[0.8884120171673819],0.3406025,[0.9267879692343015],[0.95303225987409],[0.8786692759295499],[0.905241935483871],0.345084
72,[0.9286030362837489],[0.9550016217776874],[0.8750916646296749],[0.9038121686442817],0.34196576,[0.9236310412122603],[0.950783143815633],[0.8754789272030651],[0.9213709677419355],0.3478343
73,[0.9293261317373912],[0.955555039632495],[0.8505825908156271],[0.9399141630901288],0.35429418,[0.9257476179543106],[0.9520351457418172],[0.8584392014519057],[0.9536290322580645],0.3649707
74,[0.9302428594464021],[0.9561986734811787],[0.8915262889229199],[0.881848018177228],0.3360288,[0.9270677878544369],[0.9536662899005298],[0.8807157057654076],[0.8931451612903226],0.33573055
75,[0.9304897181608566],[0.9563254273643569],[0.9046219609938552],[0.854834637717748],0.33958355,[0.9275556767305704],[0.953784156126571],[0.896049896049896],[0.8689516129032258],0.3368899
76,[0.9276613201528933],[0.9545823476476717],[0.9076754984976783],[0.8389295632416056],0.3538298,[0.9249583859488004],[0.9522227487504105],[0.8972162740899358],[0.844758064516129],0.3453412
77,[0.9312930454980892],[0.9569674703421182],[0.8756085686465434],[0.908104014137844],0.33605474,[0.9294354838709676],[0.9554482917105589],[0.8752399232245681],[0.9193548387096774],0.33984843
78,[0.9300321947241261],[0.9560370345697733],[0.842128801431127],[0.950770007573845],0.3706858,[0.9240184823786017],[0.9520432174984781],[0.8464285714285714],[0.9556451612903226],0.39662015
79,[0.9331067791123239],[0.9580890601970826],[0.8873591989987485],[0.894976016157536],0.33056673,[0.9285673286649064],[0.9544422344577417],[0.8813229571984436],[0.9133064516129032],0.33594072
80,[0.9315396801011371],[0.9571013180513905],[0.8913486005089059],[0.8843726331734411],0.33249047,[0.9270103891631272],[0.9539657718013764],[0.8804780876494024],[0.8911290322580645],0.3372474
81,[0.9259720243972159],[0.9532545662006893],[0.8249187432286024],[0.9611209290583186],0.39883983,[0.9204238893353232],[0.9488151147016528],[0.8239316239316239],[0.9717741935483871],0.4318739
82,[0.9299882688884176],[0.9561232454002517],[0.8754854368932039],[0.9106286291340571],0.34422982,[0.9279072437148432],[0.9537959193929568],[0.8716981132075472],[0.9314516129032258],0.350422
83,[0.9339948205612805],[0.9588115668581412],[0.8848831427150672],[0.8985104771522343],0.33269945,[0.9299448972563427],[0.9552811350500408],[0.8790786948176583],[0.9233870967741935],0.3387571
84,[0.9330299088998337],[0.9581270762858085],[0.9059760956175299],[0.8611461752082807],0.33362776,[0.9290121685225576],[0.9551339039696974],[0.8923395445134575],[0.8689516129032258],0.33144304
