,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
28,[0.8802824736533053],[0.9454491973542062],[0.9],[0.9036437246963562],0.42694497,[0.8677240760137664],[0.9558505911773869],[0.9011627906976745],[0.950920245398773],0.3943393
29,[0.878168557035572],[0.9451692156255667],[0.940552016985138],[0.7174089068825911],0.5326571,[0.8702678437827323],[0.9578717839791124],[0.917910447761194],[0.754601226993865],0.4451166
30,[0.8819019068516859],[0.9474200973645427],[0.9013742926434923],[0.902834008097166],0.4232228,[0.8675744426155918],[0.9561905139362321],[0.8953488372093024],[0.9447852760736196],0.38395014
31,[0.884108539110548],[0.9490870891666084],[0.9170230966638152],[0.8680161943319838],0.43976688,[0.8723627113571749],[0.9573548207688045],[0.9101796407185628],[0.9325153374233128],0.3960795
32,[0.8833606329387768],[0.9488808827917503],[0.9311926605504587],[0.8218623481781376],0.4631228,[0.8726619781535238],[0.9573698208483277],[0.9210526315789473],[0.8588957055214724],0.39608583
33,[0.8839952199936131],[0.9491225160364327],[0.9227353463587922],[0.8412955465587044],0.44992578,[0.8738590453389196],[0.9582912707547406],[0.9192546583850931],[0.9079754601226994],0.39535192
34,[0.88628220580812],[0.9503957415360409],[0.9214659685863874],[0.8550607287449393],0.441643,[0.8737094119407453],[0.9583076454604493],[0.9197530864197531],[0.9141104294478528],0.38928875
35,[0.8842939703928052],[0.9491502176055309],[0.9366729678638941],[0.8024291497975709],0.47203374,[0.877450246895107],[0.9610913955782263],[0.9183673469387755],[0.8282208588957055],0.4021109
36,[0.8860493865315078],[0.9500485575122339],[0.9053833605220228],[0.8987854251012146],0.4166941,[0.874906479126141],[0.9597444743090837],[0.9053254437869822],[0.9386503067484663],0.37862596
37,[0.8860267227081208],[0.9507546173604545],[0.9378585086042065],[0.794331983805668],0.47640458,[0.874906479126141],[0.9588874645847536],[0.9183673469387755],[0.8282208588957055],0.4055928
38,[0.8863481369307001],[0.9503041055786091],[0.9162393162393162],[0.8680161943319838],0.4324396,[0.8761035463115368],[0.9596919577730199],[0.9216867469879518],[0.9386503067484663],0.38515416
39,[0.8858886794202181],[0.9501173857522898],[0.8818181818181818],[0.9425101214574899],0.41167694,[0.8717641777644769],[0.9582143014725959],[0.8876404494382022],[0.9693251533742331],0.38423434
40,[0.8870795603218263],[0.950778645561189],[0.9070723684210527],[0.8931174089068826],0.42261496,[0.8741583121352686],[0.958367717897189],[0.9107142857142857],[0.9386503067484663],0.38046706
41,[0.8878109837129524],[0.9512004262840215],[0.9236111111111112],[0.8615384615384616],0.43073362,[0.8764028131078857],[0.9597947005506245],[0.9156626506024096],[0.9325153374233128],0.37749076
42,[0.889912538245202],[0.9526585902346605],[0.9069387755102041],[0.8995951417004049],0.41093326,[0.8746072123297919],[0.9593092627667819],[0.9],[0.9386503067484663],0.378189
43,[0.8907449186677792],[0.9534413125220363],[0.9297777777777778],[0.8469635627530364],0.43627793,[0.8755050127188387],[0.9587137612548493],[0.9235668789808917],[0.8895705521472392],0.37751365
44,[0.891869868446807],[0.9539692204843596],[0.9062754686226568],[0.9004048582995952],0.40636185,[0.8738590453389196],[0.9588693843432836],[0.8994082840236687],[0.9325153374233128],0.37412766
45,[0.8886207003121426],[0.9527611906714615],[0.9512735326688815],[0.6955465587044535],0.5275874,[0.8752057459224899],[0.9592547730529142],[0.9461538461538461],[0.754601226993865],0.44248405
46,[0.8919749461734194],[0.9537858100595896],[0.9146443514644351],[0.8850202429149797],0.41135702,[0.8753553793206644],[0.9598130926046534],[0.9096385542168675],[0.9263803680981595],0.3700727
47,[0.8936706122322836],[0.9550926986220888],[0.936036036036036],[0.8412955465587044],0.43831888,[0.8773006134969326],[0.95930489194721],[0.9230769230769231],[0.8834355828220859],0.38062346
